schema,table_name,column_name,data_type,is_nullable,column_default
auth,audit_log_entries,instance_id,uuid,YES,null
auth,audit_log_entries,id,uuid,NO,null
auth,audit_log_entries,payload,json,YES,null
auth,audit_log_entries,created_at,timestamp with time zone,YES,null
auth,audit_log_entries,ip_address,character varying,NO,''::character varying
auth,flow_state,id,uuid,NO,null
auth,flow_state,user_id,uuid,YES,null
auth,flow_state,auth_code,text,NO,null
auth,flow_state,code_challenge_method,USER-DEFINED,NO,null
auth,flow_state,code_challenge,text,NO,null
auth,flow_state,provider_type,text,NO,null
auth,flow_state,provider_access_token,text,YES,null
auth,flow_state,provider_refresh_token,text,YES,null
auth,flow_state,created_at,timestamp with time zone,YES,null
auth,flow_state,updated_at,timestamp with time zone,YES,null
auth,flow_state,authentication_method,text,NO,null
auth,flow_state,auth_code_issued_at,timestamp with time zone,YES,null
auth,identities,provider_id,text,NO,null
auth,identities,user_id,uuid,NO,null
auth,identities,identity_data,jsonb,NO,null
auth,identities,provider,text,NO,null
auth,identities,last_sign_in_at,timestamp with time zone,YES,null
auth,identities,created_at,timestamp with time zone,YES,null
auth,identities,updated_at,timestamp with time zone,YES,null
auth,identities,email,text,YES,null
auth,identities,id,uuid,NO,gen_random_uuid()
auth,instances,id,uuid,NO,null
auth,instances,uuid,uuid,YES,null
auth,instances,raw_base_config,text,YES,null
auth,instances,created_at,timestamp with time zone,YES,null
auth,instances,updated_at,timestamp with time zone,YES,null
auth,mfa_amr_claims,session_id,uuid,NO,null
auth,mfa_amr_claims,created_at,timestamp with time zone,NO,null
auth,mfa_amr_claims,updated_at,timestamp with time zone,NO,null
auth,mfa_amr_claims,authentication_method,text,NO,null
auth,mfa_amr_claims,id,uuid,NO,null
auth,mfa_challenges,id,uuid,NO,null
auth,mfa_challenges,factor_id,uuid,NO,null
auth,mfa_challenges,created_at,timestamp with time zone,NO,null
auth,mfa_challenges,verified_at,timestamp with time zone,YES,null
auth,mfa_challenges,ip_address,inet,NO,null
auth,mfa_challenges,otp_code,text,YES,null
auth,mfa_challenges,web_authn_session_data,jsonb,YES,null
auth,mfa_factors,id,uuid,NO,null
auth,mfa_factors,user_id,uuid,NO,null
auth,mfa_factors,friendly_name,text,YES,null
auth,mfa_factors,factor_type,USER-DEFINED,NO,null
auth,mfa_factors,status,USER-DEFINED,NO,null
auth,mfa_factors,created_at,timestamp with time zone,NO,null
auth,mfa_factors,updated_at,timestamp with time zone,NO,null
auth,mfa_factors,secret,text,YES,null
auth,mfa_factors,phone,text,YES,null
auth,mfa_factors,last_challenged_at,timestamp with time zone,YES,null
auth,mfa_factors,web_authn_credential,jsonb,YES,null
auth,mfa_factors,web_authn_aaguid,uuid,YES,null
auth,oauth_authorizations,id,uuid,NO,null
auth,oauth_authorizations,authorization_id,text,NO,null
auth,oauth_authorizations,client_id,uuid,NO,null
auth,oauth_authorizations,user_id,uuid,YES,null
auth,oauth_authorizations,redirect_uri,text,NO,null
auth,oauth_authorizations,scope,text,NO,null
auth,oauth_authorizations,state,text,YES,null
auth,oauth_authorizations,resource,text,YES,null
auth,oauth_authorizations,code_challenge,text,YES,null
auth,oauth_authorizations,code_challenge_method,USER-DEFINED,YES,null
auth,oauth_authorizations,response_type,USER-DEFINED,NO,'code'::auth.oauth_response_type
auth,oauth_authorizations,status,USER-DEFINED,NO,'pending'::auth.oauth_authorization_status
auth,oauth_authorizations,authorization_code,text,YES,null
auth,oauth_authorizations,created_at,timestamp with time zone,NO,now()
auth,oauth_authorizations,expires_at,timestamp with time zone,NO,(now() + '00:03:00'::interval)
auth,oauth_authorizations,approved_at,timestamp with time zone,YES,null
auth,oauth_clients,id,uuid,NO,null
auth,oauth_clients,client_secret_hash,text,YES,null
auth,oauth_clients,registration_type,USER-DEFINED,NO,null
auth,oauth_clients,redirect_uris,text,NO,null
auth,oauth_clients,grant_types,text,NO,null
auth,oauth_clients,client_name,text,YES,null
auth,oauth_clients,client_uri,text,YES,null
auth,oauth_clients,logo_uri,text,YES,null
auth,oauth_clients,created_at,timestamp with time zone,NO,now()
auth,oauth_clients,updated_at,timestamp with time zone,NO,now()
auth,oauth_clients,deleted_at,timestamp with time zone,YES,null
auth,oauth_clients,client_type,USER-DEFINED,NO,'confidential'::auth.oauth_client_type
auth,oauth_consents,id,uuid,NO,null
auth,oauth_consents,user_id,uuid,NO,null
auth,oauth_consents,client_id,uuid,NO,null
auth,oauth_consents,scopes,text,NO,null
auth,oauth_consents,granted_at,timestamp with time zone,NO,now()
auth,oauth_consents,revoked_at,timestamp with time zone,YES,null
auth,one_time_tokens,id,uuid,NO,null
auth,one_time_tokens,user_id,uuid,NO,null
auth,one_time_tokens,token_type,USER-DEFINED,NO,null
auth,one_time_tokens,token_hash,text,NO,null
auth,one_time_tokens,relates_to,text,NO,null
auth,one_time_tokens,created_at,timestamp without time zone,NO,now()
auth,one_time_tokens,updated_at,timestamp without time zone,NO,now()
auth,refresh_tokens,instance_id,uuid,YES,null
auth,refresh_tokens,id,bigint,NO,nextval('auth.refresh_tokens_id_seq'::regclass)
auth,refresh_tokens,token,character varying,YES,null
auth,refresh_tokens,user_id,character varying,YES,null
auth,refresh_tokens,revoked,boolean,YES,null
auth,refresh_tokens,created_at,timestamp with time zone,YES,null
auth,refresh_tokens,updated_at,timestamp with time zone,YES,null
auth,refresh_tokens,parent,character varying,YES,null
auth,refresh_tokens,session_id,uuid,YES,null
auth,saml_providers,id,uuid,NO,null
auth,saml_providers,sso_provider_id,uuid,NO,null
auth,saml_providers,entity_id,text,NO,null
auth,saml_providers,metadata_xml,text,NO,null
auth,saml_providers,metadata_url,text,YES,null
auth,saml_providers,attribute_mapping,jsonb,YES,null
auth,saml_providers,created_at,timestamp with time zone,YES,null
auth,saml_providers,updated_at,timestamp with time zone,YES,null
auth,saml_providers,name_id_format,text,YES,null
auth,saml_relay_states,id,uuid,NO,null
auth,saml_relay_states,sso_provider_id,uuid,NO,null
auth,saml_relay_states,request_id,text,NO,null
auth,saml_relay_states,for_email,text,YES,null
auth,saml_relay_states,redirect_to,text,YES,null
auth,saml_relay_states,created_at,timestamp with time zone,YES,null
auth,saml_relay_states,updated_at,timestamp with time zone,YES,null
auth,saml_relay_states,flow_state_id,uuid,YES,null
auth,schema_migrations,version,character varying,NO,null
auth,sessions,id,uuid,NO,null
auth,sessions,user_id,uuid,NO,null
auth,sessions,created_at,timestamp with time zone,YES,null
auth,sessions,updated_at,timestamp with time zone,YES,null
auth,sessions,factor_id,uuid,YES,null
auth,sessions,aal,USER-DEFINED,YES,null
auth,sessions,not_after,timestamp with time zone,YES,null
auth,sessions,refreshed_at,timestamp without time zone,YES,null
auth,sessions,user_agent,text,YES,null
auth,sessions,ip,inet,YES,null
auth,sessions,tag,text,YES,null
auth,sessions,oauth_client_id,uuid,YES,null
auth,sso_domains,id,uuid,NO,null
auth,sso_domains,sso_provider_id,uuid,NO,null
auth,sso_domains,domain,text,NO,null
auth,sso_domains,created_at,timestamp with time zone,YES,null
auth,sso_domains,updated_at,timestamp with time zone,YES,null
auth,sso_providers,id,uuid,NO,null
auth,sso_providers,resource_id,text,YES,null
auth,sso_providers,created_at,timestamp with time zone,YES,null
auth,sso_providers,updated_at,timestamp with time zone,YES,null
auth,sso_providers,disabled,boolean,YES,null
auth,users,instance_id,uuid,YES,null
auth,users,id,uuid,NO,null
auth,users,aud,character varying,YES,null
auth,users,role,character varying,YES,null
auth,users,email,character varying,YES,null
auth,users,encrypted_password,character varying,YES,null
auth,users,email_confirmed_at,timestamp with time zone,YES,null
auth,users,invited_at,timestamp with time zone,YES,null
auth,users,confirmation_token,character varying,YES,null
auth,users,confirmation_sent_at,timestamp with time zone,YES,null
auth,users,recovery_token,character varying,YES,null
auth,users,recovery_sent_at,timestamp with time zone,YES,null
auth,users,email_change_token_new,character varying,YES,null
auth,users,email_change,character varying,YES,null
auth,users,email_change_sent_at,timestamp with time zone,YES,null
auth,users,last_sign_in_at,timestamp with time zone,YES,null
auth,users,raw_app_meta_data,jsonb,YES,null
auth,users,raw_user_meta_data,jsonb,YES,null
auth,users,is_super_admin,boolean,YES,null
auth,users,created_at,timestamp with time zone,YES,null
auth,users,updated_at,timestamp with time zone,YES,null
auth,users,phone,text,YES,NULL::character varying
auth,users,phone_confirmed_at,timestamp with time zone,YES,null
auth,users,phone_change,text,YES,''::character varying
auth,users,phone_change_token,character varying,YES,''::character varying
auth,users,phone_change_sent_at,timestamp with time zone,YES,null
auth,users,confirmed_at,timestamp with time zone,YES,null
auth,users,email_change_token_current,character varying,YES,''::character varying
auth,users,email_change_confirm_status,smallint,YES,0
auth,users,banned_until,timestamp with time zone,YES,null
auth,users,reauthentication_token,character varying,YES,''::character varying
auth,users,reauthentication_sent_at,timestamp with time zone,YES,null
auth,users,is_sso_user,boolean,NO,false
auth,users,deleted_at,timestamp with time zone,YES,null
auth,users,is_anonymous,boolean,NO,false
cron,job,jobid,bigint,NO,nextval('cron.jobid_seq'::regclass)
cron,job,schedule,text,NO,null
cron,job,command,text,NO,null
cron,job,nodename,text,NO,'localhost'::text
cron,job,nodeport,integer,NO,inet_server_port()
cron,job,database,text,NO,current_database()
cron,job,username,text,NO,CURRENT_USER
cron,job,active,boolean,NO,true
cron,job,jobname,text,YES,null
cron,job_run_details,jobid,bigint,YES,null
cron,job_run_details,runid,bigint,NO,nextval('cron.runid_seq'::regclass)
cron,job_run_details,job_pid,integer,YES,null
cron,job_run_details,database,text,YES,null
cron,job_run_details,username,text,YES,null
cron,job_run_details,command,text,YES,null
cron,job_run_details,status,text,YES,null
cron,job_run_details,return_message,text,YES,null
cron,job_run_details,start_time,timestamp with time zone,YES,null
cron,job_run_details,end_time,timestamp with time zone,YES,null
extensions,pg_stat_statements,userid,oid,YES,null
extensions,pg_stat_statements,dbid,oid,YES,null
extensions,pg_stat_statements,toplevel,boolean,YES,null
extensions,pg_stat_statements,queryid,bigint,YES,null
extensions,pg_stat_statements,query,text,YES,null
extensions,pg_stat_statements,plans,bigint,YES,null
extensions,pg_stat_statements,total_plan_time,double precision,YES,null
extensions,pg_stat_statements,min_plan_time,double precision,YES,null
extensions,pg_stat_statements,max_plan_time,double precision,YES,null
extensions,pg_stat_statements,mean_plan_time,double precision,YES,null
extensions,pg_stat_statements,stddev_plan_time,double precision,YES,null
extensions,pg_stat_statements,calls,bigint,YES,null
extensions,pg_stat_statements,total_exec_time,double precision,YES,null
extensions,pg_stat_statements,min_exec_time,double precision,YES,null
extensions,pg_stat_statements,max_exec_time,double precision,YES,null
extensions,pg_stat_statements,mean_exec_time,double precision,YES,null
extensions,pg_stat_statements,stddev_exec_time,double precision,YES,null
extensions,pg_stat_statements,rows,bigint,YES,null
extensions,pg_stat_statements,shared_blks_hit,bigint,YES,null
extensions,pg_stat_statements,shared_blks_read,bigint,YES,null
extensions,pg_stat_statements,shared_blks_dirtied,bigint,YES,null
extensions,pg_stat_statements,shared_blks_written,bigint,YES,null
extensions,pg_stat_statements,local_blks_hit,bigint,YES,null
extensions,pg_stat_statements,local_blks_read,bigint,YES,null
extensions,pg_stat_statements,local_blks_dirtied,bigint,YES,null
extensions,pg_stat_statements,local_blks_written,bigint,YES,null
extensions,pg_stat_statements,temp_blks_read,bigint,YES,null
extensions,pg_stat_statements,temp_blks_written,bigint,YES,null
extensions,pg_stat_statements,blk_read_time,double precision,YES,null
extensions,pg_stat_statements,blk_write_time,double precision,YES,null
extensions,pg_stat_statements,temp_blk_read_time,double precision,YES,null
extensions,pg_stat_statements,temp_blk_write_time,double precision,YES,null
extensions,pg_stat_statements,wal_records,bigint,YES,null
extensions,pg_stat_statements,wal_fpi,bigint,YES,null
extensions,pg_stat_statements,wal_bytes,numeric,YES,null
extensions,pg_stat_statements,jit_functions,bigint,YES,null
extensions,pg_stat_statements,jit_generation_time,double precision,YES,null
extensions,pg_stat_statements,jit_inlining_count,bigint,YES,null
extensions,pg_stat_statements,jit_inlining_time,double precision,YES,null
extensions,pg_stat_statements,jit_optimization_count,bigint,YES,null
extensions,pg_stat_statements,jit_optimization_time,double precision,YES,null
extensions,pg_stat_statements,jit_emission_count,bigint,YES,null
extensions,pg_stat_statements,jit_emission_time,double precision,YES,null
extensions,pg_stat_statements_info,dealloc,bigint,YES,null
extensions,pg_stat_statements_info,stats_reset,timestamp with time zone,YES,null
public,admins,user_id,uuid,NO,null
public,admins,email,text,YES,null
public,admins,created_at,timestamp with time zone,YES,now()
public,email_verification_tokens,token,text,NO,null
public,email_verification_tokens,user_id,uuid,NO,null
public,email_verification_tokens,expires_at,timestamp with time zone,NO,null
public,email_verification_tokens,created_at,timestamp with time zone,NO,now()
public,email_verifications,user_id,uuid,NO,null
public,email_verifications,token,text,NO,null
public,email_verifications,expires_at,timestamp with time zone,NO,null
public,offer_shop,id,uuid,NO,gen_random_uuid()
public,offer_shop,start_date,date,YES,null
public,offer_shop,end_date,date,YES,null
public,offer_shop,name,text,YES,null
public,offer_shop,image,text,YES,null
public,offer_shop,image_alt,text,YES,null
public,offer_shop,brand_image,text,YES,null
public,offer_shop,brand_image_alt,text,YES,null
public,offer_shop,shop,text,YES,null
public,offer_shop,shop_website,text,YES,null
public,offer_shop,shop_link,text,YES,null
public,offer_shop,type,jsonb,YES,null
public,offer_shop,code,text,YES,null
public,offer_shop,gender,text,YES,null
public,offer_shop,shipping,text,YES,null
public,offer_shop,modal,text,YES,null
public,offer_shop,status,text,YES,null
public,offer_shop,premium,boolean,YES,false
public,offer_shop,created_at,timestamp with time zone,YES,"timezone('utc'::text, now())"
public,offer_shop,click_count,integer,NO,0
public,offer_shop,sport,text,YES,null
public,offer_shop,condition,text,YES,null
public,offer_shop,updated_at,timestamp with time zone,YES,"timezone('utc'::text, now())"
public,profiles,id,uuid,NO,null
public,profiles,email_verified,boolean,NO,false
public,profiles,grace_expires_at,timestamp with time zone,NO,(now() + '48 hours'::interval)
public,profiles,created_at,timestamp with time zone,NO,now()
public,profiles,updated_at,timestamp with time zone,NO,now()
public,profiles,experience,text,YES,null
public,profiles,main_goal,text,YES,null
public,profiles,birth_date,date,YES,null
public,profiles,gender,text,YES,null
public,profiles,name,text,YES,null
public,profiles,country,text,YES,null
public,profiles,training_place,text,YES,null
public,profiles,weekly_sessions,text,YES,null
public,profiles,supplements,text,YES,null
public,profiles,objectifs_completes,boolean,YES,false
public,program_store,id,uuid,NO,gen_random_uuid()
public,program_store,image,text,YES,null
public,program_store,title,text,NO,null
public,program_store,partner_image,text,YES,null
public,program_store,partner_link,text,YES,null
public,program_store,level,text,YES,null
public,program_store,sessions,text,YES,null
public,program_store,duration,text,YES,null
public,program_store,description,text,YES,null
public,program_store,link,text,YES,null
public,program_store,created_at,timestamp with time zone,YES,"timezone('utc'::text, now())"
public,program_store,image_alt,text,YES,null
public,program_store,gender,text,YES,null
public,program_store,partner_image_alt,text,YES,null
public,program_store,linked_program_id,text,YES,null
public,program_store,status,text,YES,'ON'::text
public,program_store,partner_name,text,YES,null
public,program_store,downloads,integer,YES,0
public,program_store,actifs,integer,YES,0
public,program_store,goal,text,YES,null
public,program_store,created_by,uuid,YES,null
public,program_store,is_active,boolean,YES,true
public,program_store,updated_at,timestamp with time zone,YES,"timezone('utc'::text, now())"
public,programs,id,uuid,NO,gen_random_uuid()
public,programs,user_id,uuid,YES,auth.uid()
public,programs,name,text,NO,null
public,programs,created_at,timestamp with time zone,YES,now()
public,programs,position,integer,YES,null
public,programs,is_new,boolean,YES,false
public,programs,source_store_id,uuid,YES,null
public,programs_admin,id,uuid,NO,gen_random_uuid()
public,programs_admin,user_id,uuid,YES,auth.uid()
public,programs_admin,name,text,NO,null
public,programs_admin,created_at,timestamp with time zone,YES,now()
public,programs_admin,position,integer,YES,null
public,programs_admin,linked,text,YES,'NON'::text
public,programs_admin,created_by,uuid,YES,null
public,slider_config,id,uuid,NO,gen_random_uuid()
public,slider_config,created_at,timestamp with time zone,YES,now()
public,slider_config,updated_at,timestamp with time zone,YES,now()
public,slider_config,type,text,NO,null
public,slider_config,slides,jsonb,YES,'[]'::jsonb
public,sliders_admin,id,uuid,NO,gen_random_uuid()
public,sliders_admin,type,text,NO,'none'::text
public,sliders_admin,slides,jsonb,NO,'[]'::jsonb
public,sliders_admin,created_at,timestamp with time zone,YES,"timezone('utc'::text, now())"
public,sliders_admin,updated_at,timestamp with time zone,YES,"timezone('utc'::text, now())"
public,training_rows,id,uuid,NO,gen_random_uuid()
public,training_rows,training_id,uuid,NO,null
public,training_rows,user_id,uuid,NO,null
public,training_rows,order,integer,NO,null
public,training_rows,series,integer,NO,null
public,training_rows,repetitions,ARRAY,NO,null
public,training_rows,poids,ARRAY,NO,null
public,training_rows,repos,text,NO,null
public,training_rows,effort,ARRAY,NO,null
public,training_rows,checked,boolean,NO,false
public,training_rows,created_at,timestamp with time zone,YES,now()
public,training_rows,updated_at,timestamp with time zone,YES,now()
public,training_rows,exercice,text,NO,''::text
public,training_rows,materiel,text,NO,''::text
public,training_rows,superset_id,uuid,YES,null
public,training_rows,link,text,YES,null
public,training_rows,note,text,YES,null
public,training_rows,position,integer,YES,null
public,training_rows_admin,id,uuid,NO,gen_random_uuid()
public,training_rows_admin,training_id,uuid,NO,null
public,training_rows_admin,user_id,uuid,NO,null
public,training_rows_admin,order,integer,NO,null
public,training_rows_admin,series,integer,NO,null
public,training_rows_admin,repetitions,ARRAY,NO,null
public,training_rows_admin,poids,ARRAY,NO,null
public,training_rows_admin,repos,text,NO,null
public,training_rows_admin,effort,ARRAY,NO,null
public,training_rows_admin,checked,boolean,NO,false
public,training_rows_admin,created_at,timestamp with time zone,YES,now()
public,training_rows_admin,updated_at,timestamp with time zone,YES,now()
public,training_rows_admin,exercice,text,NO,''::text
public,training_rows_admin,materiel,text,NO,''::text
public,training_rows_admin,superset_id,uuid,YES,null
public,training_rows_admin,link,text,YES,null
public,training_rows_admin,note,text,YES,null
public,training_rows_admin,position,integer,YES,null
public,trainings,id,uuid,NO,gen_random_uuid()
public,trainings,name,text,NO,null
public,trainings,user_id,uuid,NO,null
public,trainings,program_id,uuid,YES,null
public,trainings,position,integer,YES,null
public,trainings,columns_settings,text,YES,null
public,trainings,app,boolean,NO,true
public,trainings,dashboard,boolean,NO,true
public,trainings_admin,id,uuid,NO,gen_random_uuid()
public,trainings_admin,name,text,NO,null
public,trainings_admin,user_id,uuid,NO,null
public,trainings_admin,program_id,uuid,YES,null
public,trainings_admin,position,integer,YES,null
public,trainings_admin,columns_settings,text,YES,"'[""materiel"",""repos"",""effort""]'::text"
public,trainings_admin,app,boolean,NO,true
public,trainings_admin,dashboard,boolean,NO,true
public,user_subscriptions,user_id,uuid,NO,null
public,user_subscriptions,plan,text,NO,null
public,user_subscriptions,start_date,date,YES,CURRENT_DATE
public,user_subscriptions,end_date,date,YES,null
public,user_subscriptions,updated_at,timestamp without time zone,YES,now()
realtime,messages,topic,text,NO,null
realtime,messages,extension,text,NO,null
realtime,messages,payload,jsonb,YES,null
realtime,messages,event,text,YES,null
realtime,messages,private,boolean,YES,false
realtime,messages,updated_at,timestamp without time zone,NO,now()
realtime,messages,inserted_at,timestamp without time zone,NO,now()
realtime,messages,id,uuid,NO,gen_random_uuid()
realtime,messages_2025_10_11,topic,text,NO,null
realtime,messages_2025_10_11,extension,text,NO,null
realtime,messages_2025_10_11,payload,jsonb,YES,null
realtime,messages_2025_10_11,event,text,YES,null
realtime,messages_2025_10_11,private,boolean,YES,false
realtime,messages_2025_10_11,updated_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_11,inserted_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_11,id,uuid,NO,gen_random_uuid()
realtime,messages_2025_10_12,topic,text,NO,null
realtime,messages_2025_10_12,extension,text,NO,null
realtime,messages_2025_10_12,payload,jsonb,YES,null
realtime,messages_2025_10_12,event,text,YES,null
realtime,messages_2025_10_12,private,boolean,YES,false
realtime,messages_2025_10_12,updated_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_12,inserted_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_12,id,uuid,NO,gen_random_uuid()
realtime,messages_2025_10_13,topic,text,NO,null
realtime,messages_2025_10_13,extension,text,NO,null
realtime,messages_2025_10_13,payload,jsonb,YES,null
realtime,messages_2025_10_13,event,text,YES,null
realtime,messages_2025_10_13,private,boolean,YES,false
realtime,messages_2025_10_13,updated_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_13,inserted_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_13,id,uuid,NO,gen_random_uuid()
realtime,messages_2025_10_14,topic,text,NO,null
realtime,messages_2025_10_14,extension,text,NO,null
realtime,messages_2025_10_14,payload,jsonb,YES,null
realtime,messages_2025_10_14,event,text,YES,null
realtime,messages_2025_10_14,private,boolean,YES,false
realtime,messages_2025_10_14,updated_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_14,inserted_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_14,id,uuid,NO,gen_random_uuid()
realtime,messages_2025_10_15,topic,text,NO,null
realtime,messages_2025_10_15,extension,text,NO,null
realtime,messages_2025_10_15,payload,jsonb,YES,null
realtime,messages_2025_10_15,event,text,YES,null
realtime,messages_2025_10_15,private,boolean,YES,false
realtime,messages_2025_10_15,updated_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_15,inserted_at,timestamp without time zone,NO,now()
realtime,messages_2025_10_15,id,uuid,NO,gen_random_uuid()
realtime,schema_migrations,version,bigint,NO,null
realtime,schema_migrations,inserted_at,timestamp without time zone,YES,null
realtime,subscription,id,bigint,NO,null
realtime,subscription,subscription_id,uuid,NO,null
realtime,subscription,entity,regclass,NO,null
realtime,subscription,filters,ARRAY,NO,'{}'::realtime.user_defined_filter[]
realtime,subscription,claims,jsonb,NO,null
realtime,subscription,claims_role,regrole,NO,null
realtime,subscription,created_at,timestamp without time zone,NO,"timezone('utc'::text, now())"
storage,buckets,id,text,NO,null
storage,buckets,name,text,NO,null
storage,buckets,owner,uuid,YES,null
storage,buckets,created_at,timestamp with time zone,YES,now()
storage,buckets,updated_at,timestamp with time zone,YES,now()
storage,buckets,public,boolean,YES,false
storage,buckets,avif_autodetection,boolean,YES,false
storage,buckets,file_size_limit,bigint,YES,null
storage,buckets,allowed_mime_types,ARRAY,YES,null
storage,buckets,owner_id,text,YES,null
storage,buckets,type,USER-DEFINED,NO,'STANDARD'::storage.buckettype
storage,buckets_analytics,id,text,NO,null
storage,buckets_analytics,type,USER-DEFINED,NO,'ANALYTICS'::storage.buckettype
storage,buckets_analytics,format,text,NO,'ICEBERG'::text
storage,buckets_analytics,created_at,timestamp with time zone,NO,now()
storage,buckets_analytics,updated_at,timestamp with time zone,NO,now()
storage,migrations,id,integer,NO,null
storage,migrations,name,character varying,NO,null
storage,migrations,hash,character varying,NO,null
storage,migrations,executed_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
storage,objects,id,uuid,NO,gen_random_uuid()
storage,objects,bucket_id,text,YES,null
storage,objects,name,text,YES,null
storage,objects,owner,uuid,YES,null
storage,objects,created_at,timestamp with time zone,YES,now()
storage,objects,updated_at,timestamp with time zone,YES,now()
storage,objects,last_accessed_at,timestamp with time zone,YES,now()
storage,objects,metadata,jsonb,YES,null
storage,objects,path_tokens,ARRAY,YES,null
storage,objects,version,text,YES,null
storage,objects,owner_id,text,YES,null
storage,objects,user_metadata,jsonb,YES,null
storage,objects,level,integer,YES,null
storage,prefixes,bucket_id,text,NO,null
storage,prefixes,name,text,NO,null
storage,prefixes,level,integer,NO,null
storage,prefixes,created_at,timestamp with time zone,YES,now()
storage,prefixes,updated_at,timestamp with time zone,YES,now()
storage,s3_multipart_uploads,id,text,NO,null
storage,s3_multipart_uploads,in_progress_size,bigint,NO,0
storage,s3_multipart_uploads,upload_signature,text,NO,null
storage,s3_multipart_uploads,bucket_id,text,NO,null
storage,s3_multipart_uploads,key,text,NO,null
storage,s3_multipart_uploads,version,text,NO,null
storage,s3_multipart_uploads,owner_id,text,YES,null
storage,s3_multipart_uploads,created_at,timestamp with time zone,NO,now()
storage,s3_multipart_uploads,user_metadata,jsonb,YES,null
storage,s3_multipart_uploads_parts,id,uuid,NO,gen_random_uuid()
storage,s3_multipart_uploads_parts,upload_id,text,NO,null
storage,s3_multipart_uploads_parts,size,bigint,NO,0
storage,s3_multipart_uploads_parts,part_number,integer,NO,null
storage,s3_multipart_uploads_parts,bucket_id,text,NO,null
storage,s3_multipart_uploads_parts,key,text,NO,null
storage,s3_multipart_uploads_parts,etag,text,NO,null
storage,s3_multipart_uploads_parts,owner_id,text,YES,null
storage,s3_multipart_uploads_parts,version,text,NO,null
storage,s3_multipart_uploads_parts,created_at,timestamp with time zone,NO,now()
supabase_migrations,schema_migrations,version,text,NO,null
supabase_migrations,schema_migrations,statements,ARRAY,YES,null
supabase_migrations,schema_migrations,name,text,YES,null
supabase_migrations,seed_files,path,text,NO,null
supabase_migrations,seed_files,hash,text,NO,null
vault,decrypted_secrets,id,uuid,YES,null
vault,decrypted_secrets,name,text,YES,null
vault,decrypted_secrets,description,text,YES,null
vault,decrypted_secrets,secret,text,YES,null
vault,decrypted_secrets,decrypted_secret,text,YES,null
vault,decrypted_secrets,key_id,uuid,YES,null
vault,decrypted_secrets,nonce,bytea,YES,null
vault,decrypted_secrets,created_at,timestamp with time zone,YES,null
vault,decrypted_secrets,updated_at,timestamp with time zone,YES,null
vault,secrets,id,uuid,NO,gen_random_uuid()
vault,secrets,name,text,YES,null
vault,secrets,description,text,NO,''::text
vault,secrets,secret,text,NO,null
vault,secrets,key_id,uuid,YES,null
vault,secrets,nonce,bytea,YES,vault._crypto_aead_det_noncegen()
vault,secrets,created_at,timestamp with time zone,NO,CURRENT_TIMESTAMP
vault,secrets,updated_at,timestamp with time zone,NO,CURRENT_TIMESTAMP